uber	2
facebook	2	
google	2
amazon	2
linkedin	2
亦庄新产业基地 nt 1
亦庄物业管理中心 nt 1
产业发展处 nt 1
产业园污水处理厂 ntcf 1
亨利福特医院 nt 1
亨氏公司 ntc 1
享受政府 nt 10
京东 ntc 180
京东中美医院 nth 21
京东公司 nt 2
京东南永乐店 nt 5
京东商场 nt 15
京东商城 nt 100
京东客服中心 nt 1
京东方品牌原厂 nt 1
京东旗舰店 nt 1
京东集团 nt 11
京仪大酒店 ntch 2
京北创新中心 nt 1
京华 ntc 3
京华时报讯中央纪委监察部 nt 1
京华美术专科学校 nt 1
京华茶馆 nt 3
京城银行 ntcb 1
京山卫校 nt 1
京广路办事处 nt 1
京广高速场 nt 1
京律纪处 nt 3
京御园宾馆 nt 3
京投公司 nt 1
京沈客专 nt 2
京津房地产事业部 nt 2
京港澳高铁旅游市场推广联盟 nt 1
京港澳高铁旅行社联盟 nt 1
京畿道巫山机场 nt 1
京直营店 nt 1
京能集团 nt 1
京西区域医疗中心 nt 3
京西实验学校 nt 1
京西宾馆 ntch 2
京车装备公司 nt 1
京达宾馆 nt 6
京都大学 ntu 9
京都大学人文科学研究所 nt 2
京都大学医学部 nt 17
京都大学医院 nt 1
京闽酒店 nt 1
亳县古井酒厂 nt 1
人事争议仲裁委员会 nt 7
人事代表工委 nt 1
人事教育局 nt 1
人力资源中心 nt 1
人力资源社会保障厅 nt 1
人力资源社会保障部 nt 56
人口与发展研究所 nt 1
人口和计划生育委员会 nt 5
人口和计划生育委员会党组 nt 1
人口委员会 nt 7
人口计生委 nt 54
人口资源环境委员会 nt 4
人大专门委员会 nt 2
人大常委会办公厅 nt 12
人大环资委 nt 3
人大财经委 nt 13
人大附中 nt 13
人寿保险有限公司 nt 6
人权观察组织 nt 1
人武部党委 nt 4
人民代表大会常务委员会 nt 103
人民出版社 nt 32
人民医院妇产科 nt 1
人民卫生出版社 nt 1
人民大学法学院 nt 1
人民大学环境政策研究所 nt 1
人民政府办公厅 nto 1
人民政府办公厅信访局 nt 2
人民教育出版社 nt 1
人民文学出版社 nt 7
人民日报出版社 nt 3
人民日报湖北分社 nt 1
人民日报社 nt 43
人民日报社政文部 nt 1
人民日报社经济社会部 nt 3
人民日报社编委 nt 1
人民日报评论部 nt 3
人民检察院党组 nt 1
人民武装委员会 nt 2
人民武装警察部队 nt 1
人民民主改革委员会 nt 25
人民网深圳分公司 nt 1
人民网股份有限公司 ntc 3
人民网舆情监察室 nt 1
人民网舆情监测室 nt 12
人民网讯安庆市药监局 nt 1
人民网讯宣城市食药监局 nt 1
人民网财经研究院 nt 2
人民解放军总部 nt 1
人民调解委员会 nt 6
人民路万福社区志愿服务中心 nt 1
人民路下桥口处 nt 1
人民银行伊犁州中心 nt 1
人民银行合肥中心 nt 1
人民银行太原中心 nt 5
人民银行征信中心 nt 3
人民银行拉萨中心 nt 1
人民银行蚌埠市中心 nt 2
人民革命军事委员会 nt 1
亿阳集团股份有限公司 nt 1
什刹海体校 nt 2
什刹海旅游咨询中心 nt 3
仁化公安局 nt 2
仁和律师事务所 nt 1
仁和镇社会福利院 nt 1
仁寿龙正卓家收费站 nt 3
仁川亚组委 nt 1
仁川亚运会组委会 nt 4
仁川北洋水师 nt 1
仁济医院 nth 1
仓山东升 nt 1
仓山师大 nt 1
仓山镇公交站 nt 4
付家庄村党支部 nt 1
仙台少年俱乐部 nt 1
仙居人民医院 nt 1
仙岳医院 nt 1
仙林花卉物流中心 nt 1
仙桃幼儿园 nt 3
仙游抽水蓄能电站 nt 1
代子村桐树院组 nt 1
代表资格审查委员会 nt 39
以岭药业 nt 1
仪征法院 nt 2
仰光机场 nt 1
仲量联行深圳工业地产部 nt 1
价格监测中心 nt 4
价格监督检查与反垄断局 nt 1
任丘大队 nt 1
任县人民检察院 nt 1
任县政府 nt 1
任天堂 ntc 23
任天堂公司 ntc 18
企业家协会 nt 2
企业家联合会 nt 1
企业电视台 nt 1
企业网上银行 ntcb 3
伊东工业园 nt 1
伊利 ntc 14
伊利海鹰队 nt 1
伊利诺伊大学 ntu 1
伊利诺伊大学香槟分校 nt 1
伊利诺大学 ntu 6
伊利诺斯州国民警卫队 nt 1
伊卢米纳公司 nt 6
伊姿园公司 nt 1
伊姿园连锁店 nt 1
伊安全部队 nt 4
伊尔克什坦口岸 nto 5
伊尔克什坦口岸管委会 nt 1
伊斯兰发展银行 ntcb 1
伊热夫斯克机械制造厂 nt 2
伊犁哈萨克自治州党委 nt 1
伊犁哈萨克自治州农业技术推广站 nt 1
伊犁州党委 nt 3
伊犁州政府 nto 1
伊犁州盐业公司 nt 1
伊犁州纪委 nt 3
伊犁州纪委纠风办 nt 1
伊犁银监局 nt 1
伊美尔公共事业部 nt 1
伊美尔医疗美容专科医院 nt 1
伊美尔医院 nt 2
伊美尔美容医院 nt 1
伊美尔美容院 nt 1
伊美尔美容集团 nt 1
伊美尔集团 nt 7
伊莱克斯 ntc 2
伊金霍洛旗公安局 nt 2
伊顿 ntc 5
伍家岗区公安分局 nt 4
伏尔加格勒地区分部 nt 2
伏尔加格勒州内务总局 nt 4
休斯敦太空中心 nt 2
休斯敦布什洲际机场 nt 2
休斯敦火箭队 nt 4
休斯敦美国广播公司 nt 2
休斯敦贝勒医学院 nt 4
休斯顿火箭队 nt 2
众兴乡政府 nt 1
伟劳务公司 nt 5
伟弘公司 nt 13
传染病研究所疫苗研究中心 nt 2
传染病院 nt 1
伯克利音乐学院 nt 7
伯明翰儿童医院 nt 1
伯明翰大学 ntu 2
住建部会同法制办 nt 2
住建部会同监察部 nt 1
住建部住宅产业化促进中心 nt 4
住建部政策研究中心 nt 20
住建部检查组 nt 1
住建部组织专家组 nt 1
住房保障司 nt 2
住房公积金管理中心 nt 3
住房和城乡建设部政策研究中心 nt 2
住房城乡建设委 nt 1
住房城乡建设部 nt 34
住房城乡建设部办公厅 nt 1
佑安医院 nth 1
体制改革司 nt 1
体育医院 nt 4
体育科学研究所 nt 1
何厝小学 nts 2
余姚法院 nt 1
佛光大学 ntu 6
佛冈中医院 nt 1
佛协西藏分会 nt 11
佛坪中学 nts 1
佛坪初中 nt 1
佛罗伦萨俱乐部 nt 1
佛罗里达大学 ntu 1
佛罗里达州林恩大学 nt 1
佛罗里达州立大学 ntu 1
佳兆业集团控股有限公司 ntc 1
佳县公安局康家港派出所 nt 1
佳宁集团 nt 1
佳游旅运（香港）有限公司 nt 1
佳能 ntc 11
佳西餐厅 nt 1
佳诺汽修厂 nt 1
供水公司 nt 5
供水集团 nt 1
供水集团生产安全部 nt 1
供热公司 nt 11
供销公司 nt 2
供销公司机械厂 nt 1
供销合作总社 nt 1
依安粮食仓储物流中心 nt 6
依文企业集团 nt 1
侨务委员会 nt 2
侵华日军南京大屠杀遇难同胞纪念馆 nt 8
侵华日军第七三一部队罪证陈列馆 nt 2
侵华日军部队 nt 4
促进中心控股公司 nt 1
俄克拉何马雷霆队 nt 1
俄克拉荷马州县监狱 nt 1
俄国仪仗队 nt 7
俄国军乐队 nt 2
俄国物理化学协会 nt 1
俄国犯罪集团 nt 1
俄国社会民主党 nt 1
俄国财政部 nt 4
俄国铁道局 nt 2
俄外交部 nt 7
俄外交部新闻局 nt 1
俄新社 nt 25
俄海军 nt 15
俄科学院 nt 1
俄科学院东方学研究所 nt 2
俄科学院航天研究所 nt 1
俄科学院远东研究所 nt 1
俄空军 nt 10
俄联邦安全局 nt 3
俄联邦政府 nt 5
俄联邦渔业署 nt 1
俄联邦移民局 nt 2
保亭县七仙岭君澜度假酒店 nt 1
保亭县委办 nt 1
保亭县文体局 nt 1
保亭法院 nt 1
保亭黎族苗族自治县人大常委会 nt 1
保利文化集团股份有限公司 ntc 2
保利科技有限公司 nt 3
保利集团 ntc 4
保加利亚投资署 nt 1
保加利亚科学院 nt 1
保加利亚驻沪总领事馆 nt 1
保时捷 ntc 259
保时捷公司 ntc 3
保税区管理委员会 nt 1
保税物流中心 nt 11
保税物流中心有限公司 nt 1
保证保险 ntc 7
保险股份有限公司 ntc 3
保险股份有限公司总公司 nt 1
保险行业协会 nt 2
保险资产管理公司 ntc 6
信德集团 ntc 1
信息公司董事局 nt 1
信息化推进司 nt 5
信用合作社互助组 nt 1
信达证券 ntc 1
债权人委员会 nt 5
偃师消防大队 nt 2
假日旅行社有限公司 nt 3
健力宝集团 nt 37
傅家堰乡计生办 nt 2
儋州丹阳路桥建设投资有限公司 nt 1
儋州公安局 nt 1
儋州垃圾焚烧发电厂 nt 1
儋州易鸿房地产投资公司 nt 1
儋州法院 nt 1
儋州琼岛制品厂 nt 1
儋州运通公路客运有限公司 nt 1
儿科医院 nt 3
儿童摄影工作室 nt 2
儿童福利院 nt 37
儿童福利院保卫室 nt 1
元典美术馆 nt 1
兆运有限公司 nt 1
兆龙饭店 ntch 9
先天下店 nt 1
先锋书店 nt 2
光伏发电站 nt 5
光伏电站 nt 17
光伏电站政府 nt 1
光华印刷厂 nt 1
光大戏院 nt 1
光大手机银行 nt 2
光大证券 ntc 9
光大银行 ntcb 59
光彩体育馆 nt 1
光彩体育馆羽毛球馆 nt 1
光明乳业 nt 3
光明新区光明执法队 nt 1
光明日报社 nt 1
光明集团 ntc 1
光明食品集团 ntc 5
光星村党支部 nt 1
光电协会 nt 1
光线影业 nt 12
光谷体育馆 nt 1
光谷北斗公司 nt 5
光谷国际网球中心 nt 4
光谷地铁站 nt 4
光谷大道营业厅 nt 2
光谷微美术馆 nt 1
光谷民院 nt 1
光谷美术馆 nt 1
光谷联合产权交易所 nt 1
光谷青桐沙龙 nt 1
克利夫兰骑士队 nt 1
克利翁酒店 ntch 14
克孜勒苏柯尔克孜自治州乌恰县招商局 nt 1
克尔瑞研究中心 nt 1
克州政府 nt 1
克州新蓉皮革厂 nt 1
克拉斯诺亚尔斯克地区政府 nt 4
克拉斯诺达尔电视台 nt 1
克拉玛依市克拉玛依区人力资源服务中心 nt 1
克拉玛依市克拉玛依油田 nt 1
克拉玛依市气象局 nt 1
克拉玛依油田 nt 2
克罗地亚政府 nt 1
克罗地亚新星科 nt 1
克罗地亚队 nt 1
克莱斯勒公司 ntc 1
克虏伯炮厂 nt 1
克里夫兰骑士队 nt 1
全俄展览中心 nt 2
全罗北道政府 nt 1
全联福利中心 nt 1
全聚德烤鸭店 nt 1
全非洲中国和平统一促进会 nt 2
八一中学 nts 2
八一农场 nt 1
八一医院 nt 3
八一堤委会 nt 7
八一女排 nt 8
八一女篮 nt 7
八一电影制片厂 ntcf 4
八一队 nt 80
八一队会 nt 4
八一青年男篮 nt 5
八一飞机表演队 nt 1
八仙筒镇中学 nts 1
八十一团社区办公室 nt 1
八十三团医院 nt 2
八十三团学校 nt 1
八十三团职工医院 nt 1
八卦村党总支 nt 1
八卦村村级股份经济合作社 nt 1
八卦村集体资产股份制改革领导小组 nt 1
八大处新春祈福会 nt 1
八大处第五处 nt 1
八宝山殡仪馆 nt 2
八路军兰州办事处 nt 1
八路军冀东部队 nt 1
八路军前线司令部 nt 1
八路军太行纪念馆 nt 1
八路军总政治部 nt 1
八路军敌工部 nt 1
八路军第一纵队 nt 1
八路军西安办事处 nt 3
八路军西安办事处纪念馆 nt 7
八路军重庆办事处 nt 4
八路军野战政治部 nt 1
八路军（新四军）办事处 nt 1
八达岭设站 nt 1
八道派出所 nt 1
八里庄养老院 nt 1
八里庄街道办事处 nt 1
公牛队 nt 11
公用事业中心 nt 2
公用事业大队 nt 2
公路管理处路政科 nt 1
公路管理局养护处 nt 3
公路管理局养护站 nt 1
公路运输管理局 nto 1
公馆镇中心小学 nt 4
公馆镇猪乸岭信诺汽车修理厂 nt 1
六十铺镇党委 nt 1
六合交巡警大队 nt 1
六合县新集供销合作社 nt 2
六合新集供销合作社 nt 2
六合检察院 nt 3
六合法院 nt 6
六郎镇政府 nt 1
六郎镇文体办 nt 1
六里屯垃圾填埋场 nt 2
六里桥派出所 nto 2
六里桥长途客运站 nt 1
六鳌镇政府武装部 nt 1
兰大一院 nt 4
兰大医院 nt 1
兰德公司 ntc 10
兰杆街道党工委 nt 1
兰氏蔬菜配送公司 nt 1
兰陵县委 nt 1
共青团中央 nt 9
共青团中央局宣传部 nt 2
共青团灞桥区委 nt 1
共青团组 nt 1
共青团陈仓区委 nt 2
关东宪兵队司令部 nt 8
关中检测站 nt 1
关塔那摩监狱 nt 48
关山月美术馆 nt 3
关山桥村六组 nt 2
关山检查站 nt 1
关山消防中队 nt 1
关岭县公安局 nt 9
关帝庙进香团 nt 1
关店乡党委政府 nt 1
关联公司 ntc 22
兴业交通发展有限公司 nt 1
兴业检察院 nt 1
兴业金融租赁有限责任公司 nt 12
兴业银行 ntcb 70
兴业银行北京分行望京支行营业厅 nt 1
兴业银行监察保卫部 nt 1
兴业银行股份有限公司 ntc 1
兴业银行贸易金融部 nt 1
兴业银行资金运营中心 nt 1
兴仁镇党委 nt 4
兴华公司 nt 3
兴发集团 ntc 1
兴国中学 nt 2
兴国宾馆 nt 1
兴城空军基地 nt 3
兴城街道办事处 nt 1
兴宁公安分局 nt 1
兴达公司 nt 4
兴达小区广场站 nt 7
兴隆华侨农场 nt 1
兴隆红十字医院 nt 1
兵马俑博物馆 nt 1
典当公司 ntc 6
养和医院 nth 1
养生堂集团 nt 1
兽医实验室 nt 5
兽药饲料监察所 nt 1
冀东区委 nt 1
冀中中共八地委 nt 1
冀中中共八地委城工部 nt 1
冀中公安局 nt 1
冀中能源峰峰集团有限公司 ntc 1
冀中能源石煤机公司 nt 2
冀北电力公司 nt 1
冀北电力公司会 nt 1
内丘收费站 nt 2
内务司法委员会 nt 1
内厝社区城市义工服务队 nt 1
内山书店 nt 7
内布拉斯加林肯大学 ntu 1
内政部警政署 nt 1
内政部边境署 nt 1
军工三院 nt 1
军营司令部 nt 1
农七师奎管处 nt 1
农业部农产品质量安全监管局 nt 10
农业部农村经济体制与经营管理司 nt 5
农业部办公厅 nt 4
农业部市场与经济信息司 nt 1
农业部市场司 nt 1
农业部新闻办公室 nt 10
农业部畜禽标准化示范场 nt 1
农业部种植业司 nt 1
农业部科教司 nt 1
农业部纪检组 nt 4
农业部青年联合会 nt 1
农业银行 ntcb 93
农业银行党委 nt 3
农业银行全球现金管理服务中心 nt 3
农业银行移动银行 nt 1
农业银行营销优质跨国公司 nt 1
农五师党委 nt 10
农五师党校 nt 3
农十三师党委 nt 1
农垦公安局 nt 1
农垦医院 nt 2
农垦总医院肿瘤内科 nt 1
农垦总局 nt 3
农垦总局纪委 nt 1
农垦福山公安分局 nt 1
农垦集团 nt 3
农工党宁夏区委会 nt 1
农工党市委 nt 1
农工党市委会 nt 1
农工党新疆区委会 nt 2
农工党湖北省委 nt 1
农工党湖北省委员会 nt 1
农工党漳州市委会 nt 1
农工党福建省委 nt 2
农工党西安市委会 nt 1
农工商联合公司 ntc 1
农工民主党乌鲁木齐市委员会 nt 1
农工民主党市委会 nt 3
农工陕西省委员会 nt 1
农村资金互助社 nt 1
农林大学 nt 2
农林大学园艺学院 nt 1
农林水利局 nto 2
农民专业合作社 nt 34
农民专业合作社联合社 nt 2
农民资金互助合作社 nt 11
农牧业厅 nt 1
农牧业局 nt 1
农牧业局党组 nt 2
农科院园艺所 nt 2
农科院瓜菜研究所 nt 1
农行诏安支行营业厅 nt 1
冯家河村爱卜组 nt 2
冰雪旅馆 nt 1
冶金工业厅 nt 1
冶金工业规划研究院 nt 8
冶金自动化研究设计院 nt 1
冶金部计划司 nt 2
冷链物流专业委员会 nt 1
净雅酒店 nt 1
净雅餐饮集团 nt 2
凉亭乡敬老院 nt 2
凉水河北岸建设环渤海总部基地 nt 1
凉泉乡泊湖小学 nt 1
凌云餐厅 nt 4
凌笪乡合唱团 nt 1
凌笪乡政府 nt 2
凤凰出版传媒集团 ntc 1
凤凰医疗集团 nt 6
凤凰山经济开发区管委会 nt 1
凤凰岛派出所 nt 2
凤凰机场 nt 17
凤凰村居委 nt 1
凤凰车厂 nt 1
凤台关店 nt 1
凤台杨村客运站 nt 1
凤山军校 nt 1
凤阳供电公司 nt 1
凤阳法院 nt 3
凤阳路工商所 nt 3
凤鸣集团 nt 1
凯原法学院 nt 3
凯宾斯基度假酒店 nt 1
凯宾斯基酒店 ntch 2
凯宾斯基饭店 ntch 1
凯恩斯国际置业有限公司 nt 1
凯悦旅馆集团 nt 1
凯悦酒店 ntch 1
凯托学会 nt 1
凯星学校 nt 1
凯杰之旅公司 nt 2
凯涛奇食品有限公司 nt 2
凯迪拉克汽车公司 ntc 2
凯雷集团有限公司 nt 1
分子反应动力学国家重点实验室 nt 2
切列波韦茨机场 nt 2
切尔西会 nt 2
切尔西俱乐部 nt 6
切尔西队 nt 5
切沃队 nt 1
刑侦大队 nt 59
刑侦大队技术中队 nt 1
刑侦大队技术室 nt 2
刑警大队 nt 67
刑警大队专案组 nt 3
刑警支队 nt 9
列克星敦研究所 nt 2
列宁格勒大学法律系 nt 1
刘集中学 nts 1
创新书店 ntc 7
创维 ntc 7
创维集团 ntc 1
利乐公司 ntc 1
利兹大学 ntu 1
利兹大学化学系 nt 3
利安人寿保险股份有限公司 ntc 1
利安社区无假货联盟 nt 1
利安达会计师事务所 nt 3
利尔公司 ntc 7
利库德集团 ntc 53
利库德集团联合政府 nt 1
利德国际服装批发市场 nt 2
利比里亚维和警察防暴队 nt 2
利民路水厂 nt 1
利民路街道办事处 nt 1
利物浦大学 ntu 3
利物浦球队 nt 1
利物浦约翰摩尔斯大学 ntu 1
利群集团 ntc 1
前埔南区小学 nts 2
前苏联苏霍伊设计局 nt 2
前进指挥所 nt 5
前进派出所 nto 2
前门观旗宾馆 ntch 3
前马家厂 ntcf 1
剑桥国际高中 nt 1
剑桥地区委员会 nt 5
剑桥地区法院 nt 1
剑桥大学 ntu 21
剑桥大学三一学院 nt 2
剑桥大学图书馆 nt 1
剑桥大学天文研究所 nt 4
加依勒玛乡沙依拉古丽刺绣协会 nt 1
加利福尼亚圣迭戈基地 nt 5
加利福尼亚大学 ntu 3
加利福尼亚大学伯克利分校 nt 1
加利福尼亚大学牙医学院 nt 1
加利福尼亚州北区联邦地方法院 nt 1
加利福尼亚州喷气推进实验室 nt 2
加勒比海游轮公司 nt 1
加勒比经委会 nt 1
加勒比经济委员会 nt 1
加勒比足联 nt 1
加德满都地区政府 nt 2
加拉加斯丽都商业中心 nt 1
加碑岩乡王台小学 nt 1
劳动人事部 nt 1
劳动保障所 nto 1
劳动路社区服务站 nt 1
劳氏船级社 nt 1
勐海气象路燕京啤酒总经销部办公室 nt 1
勐海派出所 nt 3
勐海燕京啤酒总经销部 nt 1
勘探开发研究院 nt 1
勘测公司 nt 1
包兆龙图书馆 nt 1
包村工作组 nt 1
包钢稀土集团 nt 1
北亚医院 nt 2
北仑中学 nts 2
北仑法院 nt 6
北关派出所 nto 5
北创鑫广告公司 nt 1
北医三院 nth 14
北华大学 ntu 1
北卡罗来纳大学 ntu 6
北史家务派出所 nt 3
北四环店 nt 1
北国商城 nt 3
北地方法院 nt 1
北城新奥中心 nt 1
北城派出所 nto 4
北城社区卫生服务中心 nt 1
北城街道办 nto 1
北外环中队 nt 1
北大人民医院 nth 2
北大人民医院心血管病研究所 nt 1
北大保卫部 nt 1
北大医学部 nt 1
北大
北大医院南院 nt 1
北大国际医院 nth 1
北大图书馆 nt 3
北大壶站 nt 1
北大招生办 nt 1
北大招生办公室 nt 1
北大教育基金会 nt 3
北大新闻中心 nt 4
北大星光集团 ntc 2
北大法学院 nt 2
北大深圳医院 nt 2
北大深圳医院外科 nt 1
北大第一医院 nth 5
北大纪委 nt 1
北大纵横管理咨询集团 nt 2
北大考古文博学院 nt 19
北大考古文博学院办公室 nt 2
北大自主招生专家委员会 nt 2
北大荒博物馆 nt 1
北大街社区干休所家属院 nt 1
北大西洋公约组织总部 nt 1
北大资源集团 ntc 6
北大附属宿州实验学校 nt 2
北太平庄街道办事处 nt 1
北太平庄队 nt 1
北安管理局 nt 1
北展地区建设指挥部 nt 4
北展指挥部 nt 3
北屯中学 nts 1
北屯街办 nt 1
北屯额河草原食品有限责任公司 nt 1
北屯高级中学 nts 2
北工大 nt 4
北师大 nt 30
北师大全球院 nt 4
北师大实验中学 nts 1
北师大教育系 nt 1
北师大附属实验中学 nts 6
北平军事调停处 nt 1
北平军调处执行部 nt 1
北平办事处 nt 1
北平国立艺术专科学校 nt 1
北平大学艺术学院 nt 1
北平师范大学 nt 1
北德电视台 nt 1
北控集团 nt 2
北斗泰国示范站 nt 1
北新桥小学 nt 1
北方交通大学交通运输学院 nt 3
北方储运公司 nt 1
北方国际传媒中心 nt 1
北方局妇委会 nt 1
北方工业公司 ntc 8
北方工业大学 ntu 1
北方律师事务所 nt 1
北方机械制造厂 nt 1
北方某省驻京办 nt 7
北方民族大学 ntu 2
北方民族大学共建附属中学 nt 1
北方民族大学外国语学院 nt 3
北方王朝资源公司 nt 1
北方稀土集团 nt 2
北方邦政府 nt 2
北欧创发会社 nt 1
北池子小学 nts 1
北汽云南瑞丽汽车有限公司 nt 1
北汽女排 nt 7
北汽河北黄骅基地 nt 1
北汽瑞丽基地 nt 2
北汽集团 ntc 14
北汽黄骅汽车产业基地 nt 1
北洋女子师范大学 nt 1
北洋政府 nt 14
北洋水师 nt 8
北洋海军 nt 22
北洋集团 ntc 3
北海洋实业 nt 1
北海海关 nto 1
北海航保中心 nt 1
北海舰队 nt 22
北海舰队司令部 nt 3
北海边防支队高德边防派出所 nt 1
北海铁路公安处 nt 2
北海餐厅 nt 1
北湖派出所 nt 5
北焦养老院 nt 1
北白象派出所 nto 3
北益山陆军 nt 3
北站派出所 nto 1
北竿乡塘岐社区发展协会 nt 1
北约组织 nt 2
北航附中 nt 1
北苑培训学校 nt 1
北苑派出所 nto 6
北角海景台 nt 1
北角海逸大酒店 nt 2
北角香港殡仪馆 nt 6
北车管所 nt 4
北车集团 nt 4
北达科他州政府 nt 1
北郊站派出所 nt 18
北郊营业所 nt 2
北部地区法院 nt 1
北部湾区域性国际航运中心 nt 1
北锣鼓巷小学 nts 1
北高加索伊斯兰研究中心 nt 1
北高指挥部 nt 2
北高新技术产业基地 nt 1
匹兹堡大学 ntu 3
区人民政府 nt 4
区党委办公厅 nt 1
区党委宣传部 nt 4
区党委组织部 nt 1
区卫生厅党组 nt 1
区域性金融中心 nt 1
区域物流中心 nt 1
区文化厅艺术处 nt 1
医大二院 nt 2
医学检验中心 nt 1
医疗器械处 nt 1
医疗辅助队 nt 1
医院管理局 nto 3
十一医院 nt 1
十三师党委 nt 6
十三陵办事处 nt 1
十三陵特区办事处 nt 5
十三陵特区办事处文物科 nt 1
十八兵团文工团 nt 1
十八里店 nt 5
十八里铺镇党委 nt 1
十届人大 nt 36
十里堡供销社篮球队 nt 1
十里铺街道办 nt 4
千佛山医院 nth 1
千叶县幕张国际会展中心 nt 1
千叶县炼油厂 nt 2
千叶县陆上自卫队 nt 2
千坪村卫生室 nt 2
卉原中学 nts 2
半坡博物馆 nt 1
半导体研究所 nt 1
半岛电视台 nt 5
半月谈杂志社 nt 1
华业地产 nt 2
华中人才市场 nt 1
华中农业大学 ntu 13
华中农业大学园艺学院 nt 1
华中农业大学园艺林学院 nt 2
华中农业大学研究生招办 nt 1
华中奥集团 nt 1
华中实业 nt 1
华中工委 nt 1
华中师大 nt 8
华中师范大学 ntu 24
华中师范大学教科院 nt 1
华中师范大学教育学院 nt 2
华中师范大学文学院 nt 1
华中师范大学新闻系 nt 1
华中师范大学武汉传媒学院 ntu 1
华中科大 nt 8
华中科技大学 ntu 25
华中科技大学公共管理学院 nt 1
华中科技大学同济医学院 nt 2
华中科技大学文华学院 ntu 3
华中科技大学武昌分校 ntu 1
华中科技大学环境科学与工程学院 nt 1
华中科技大学管理学院 nt 1
华中荻洲部队 nt 5
华中路站 nt 1
华中集团 nt 1
华为mate2会 nt 1
华为公司 ntc 8
华为国家体育总局 nt 1
华为广安市人民政府 nt 1
华为海洋网络有限公司 ntc 1
华侨历史博物馆 nt 2
华侨城集团 ntc 1
华侨大学新闻中心 nt 3
华侨大学站 nt 1
华侨幼儿园 nt 2
华侨财团 nt 1
华侨路派出所 nt 1
华侨饭店 ntch 1
华信医院 nth 4
华兴公司 nt 3
华兴生态旅游度假酒店 nt 1
华冈高中 nt 4
华农业科技发展有限公司 nt 1
华农植科院 nt 1
华农生科院 nt 1
华凯尔俱乐部 nt 2
华南农业大学 ntu 8
华南农业大学人文与法学院 nt 1
华南师范大学 ntu 10
华南师范大学妇女研究中心 nt 4
华南师范大学政治与行政学院 nt 12
华南师范大学生命科学学院 nt 3
华南师范大学舞蹈系 nt 1
华南环境科学研究所 nt 2
华南环境科学研究所会 nt 1
华南理工大学 ntu 30
华南理工大学化学院 nt 2
华南理工大学性别研究中心 nt 4
华南理工大学计生办 nt 2
华厦公司 nt 2
华合资公司 nt 9
华城富丽地产开发有限公司 nt 3
华域汽车系统股份有限公司 ntc 1
华墨拉兰联合总商会 nt 1
华夏电影发行公司 nt 2
华夏电影发行有限公司 nt 1
华夏股权投资基金管理有限公司 nt 8
华夏艺术馆 nt 1
华夏银行 ntcb 7
华夏银行手机银行 nt 1
华夏集团 ntc 1
华外资银行 nt 8
华天庆丰包子铺 nt 1
华天集团 ntc 18
华天饮食集团 nt 13
华天饮食集团党委 nt 2
华宇天地物流公司 nt 1
华安有限公司 nt 1
华安海峡两岸传媒交流中心 nt 1
华安经济开发区管委会 nt 3
华安证券有限责任公司投资银行总部 nt 2
华安财产保险（放心保）股份有限公司 nt 1
华尔街证券公司 nt 1
华尔街银行 nt 1
华山北站 nt 1
华山医院 nth 20
华山医院神经外科 nt 1
华山医院运动医学中心 nt 1
华山医院运动医学科 nt 1
华山半导体材料公司 nt 1
华山文化创意产业园 nt 1
华师大附属东昌中学 nt 1
华师附中 nt 1
华康医院 nt 1
华建设项目管理有限公司 nt 1
华强文化科技产业基地 nt 1
华强海绵制品有限公司 nt 1
华彩咨询管理有限公司党支部 nt 1
华彬文化中心 nt 1
华恒电子科技有限公司 nt 1
华房产公司 nt 1
华文出版社 nt 6
华文学校 nt 1
华新水泥股份有限公司 ntc 1
华昌公司 nt 3
华星建材厂 nt 1
华晋舞剧团 nt 2
华晨 ntc 6
华服饰有限公司 nt 5
华杰工作室 nt 1
华泰 ntc 16
华泰a25会 nt 1
华泰房地产开发公司 nt 2
华泰联合证券投行部 nt 1
华泰集团党委 nt 1
华泽集团 ntc 1
华海房地产开发公司 nt 2
华润万家超市北郊店 nt 1
华润公司 nt 1
华润前海中心 nt 1
华润水泥厂 nt 1
华润深圳湾国际商业中心 nt 1
华润燃气公司 nt 1
华润置地有限公司 ntc 1
华润置地福州发展有限公司 nt 2
华润集团 ntc 2
华润雪花啤酒（阜阳）有限公司 nt 1
华清学院 nt 12
华清西路西安筑路工程机械厂 nt 1
华源 ntc 1
华源热力股份有限公司 nt 1
华源纺织公司 nt 2
华漕学校 nt 1
华漕社区卫生服务中心 nt 1
华爱社区服务管理中心 nt 1
华牧牧业 nt 1
华珠（泉州）鞋业有限公司 nt 1
华珠（泉州）鞋业有限公司工会 nt 1
华瑞实业 nt 1
华电子机械公司 nt 1
华电新疆发电有限公司 ntc 2
华电能源 ntc 1
华电集团 nt 3
华电集团控股煤矿 nt 1
华硕 ntc 27
华硕电脑 ntc 1
华第四家零售店 nt 1
华纳 ntc 9
华纳兄弟公司 ntc 1
华纳兄弟影业 nt 3
华纳公司 ntc 1
华纳唱片 ntc 3
华纳电影公司 ntc 1
华美伦酒店 ntch 3
华美达酒店 ntch 36
华联发展集团 ntc 4
华能山东电厂 nt 1
华能海南发电股份有限公司 nt 1
华能电厂 nt 1
华能集团 ntc 7
华英兰园 nt 1
华茂汽车附件制造有限公司 nt 1
华蓥公安消防大队 nt 1
